Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,Unnamed: 21
35.391000000000055,1204,,,,0.0,-0.046875,-0.98828125,0.0140930065166592,0.2796741950332401,22.20400047302246,0.15625,671,0,3.4693750739097595,0.9897244248656084,28.52745534227447,0.2825778449099265,0.0806122685138409,0.134765625,,
35.396995000000054,1204,,,,-0.125,-0.0546875,-0.921875,,,22.20400047302246,0.13671875,671,0,3.03570318967104,,32.59912417707658,,,0.134765625,,
35.409,1204,,,,0.0,0.02734375,-0.9765625,0.0137672399381472,,22.20400047302246,0.146484375,671,0,3.2525391317904,0.9666625154414238,29.720242440536374,0.2893193752377247,0.0859864197480969,0.134765625,,
35.414995,1204,,,,-0.08203125,-0.0546875,-0.91796875,0.0080820829897122,0.265081189697993,22.20533561706543,0.1692708283662796,671,0,3.7587155540519177,0.5678372720212214,15.10721585221019,0.4668259777214595,0.0705244081085715,0.134765625,,
35.42000000000006,1204,,,,0.0625,-0.0703125,-0.9609375,,0.2796741950332401,22.20199966430664,0.15625,671,0,3.4690624475479126,,16.373052671046935,,0.080619533162606,0.134765625,,
35.42599500000005,1204,,,,-0.125,-0.11328125,-0.8828125,,,22.20400047302246,0.15625,671,0,3.4693750739097595,,16.374295680165478,,,0.134765625,,
35.43200000000006,1204,,,,-0.1875,0.05078125,-0.98046875,0.00696667025069,0.2729472279199378,22.20400047302246,0.166015625,671,0,3.68621101602912,0.4897235182852789,13.285281720329223,0.5573496426629397,0.0740454701950198,0.134765625,,
35.438,1204,,,,0.0625,-0.0078125,-1.0390625,,,22.20400047302246,0.15625,671,0,3.4693750739097595,,14.116166670051596,,,0.134765625,,
35.44399500000005,1204,,,,-0.03125,-0.0546875,-1.01171875,0.0054292363741359,0.2729472279199378,22.20400047302246,0.1806640625,671,0,4.01146492920816,0.3814508906431993,9.50901721378119,0.7155501130425898,0.0680417834224506,0.134765625,,
35.449000000000055,1204,,,,0.0625,0.03125,-1.1640625,,,,,671,0,,,,,,0.134765625,,
35.45400000000006,1204,,,,-0.0625,-0.0078125,-1.109375,0.0068482553196033,0.2729472279199378,22.20600128173828,0.185546875,671,0,4.120254144072533,0.4809695250923547,11.673297526665571,0.5674938092336038,0.0662452407972465,0.134765625,,
35.46,1204,,,,-0.125,0.11328125,-1.0546875,,,22.20400047302246,0.15625,671,0,3.4693750739097595,,13.862171927726186,,,0.134765625,,
35.467,1204,,,,0.0,0.05078125,-1.14453125,0.0093928542736729,,22.200000762939453,0.1708984375,671,0,3.79394544288516,0.6596012885806232,17.385629248242953,0.4138063897772016,0.0719428447322034,0.134765625,,
35.472995000000054,1204,,,,0.0625,-0.03125,-1.12109375,,0.266091309360374,22.20400047302246,0.15625,670,0,3.4693750739097595,,19.00933995329566,,0.076697187156679,0.134765625,,
35.478995000000054,1204,,,,-0.09375,0.07421875,-1.05859375,0.0143470986728828,,22.20400047302246,0.166015625,670,0,3.68621101602912,1.0071593434630808,27.322346417053968,0.2641998121622232,0.0721855879121685,0.134765625,,
35.485000000000056,1204,,,,0.0625,-0.12890625,-1.0625,,0.2783202048474956,22.20400047302246,0.1806640625,670,0,4.01146492920816,,25.104583822699173,,0.0693811886079319,0.13671875,,
35.491,1204,,,,-0.125,0.03125,-0.943359375,0.0149143259946428,,22.20400047302246,0.166015625,670,0,3.68621101602912,1.0468274024524142,28.398466552793373,0.265870194260746,0.0755030581909847,0.13671875,,
35.496995000000055,1204,,,,,,,,0.265446552129067,22.20400047302246,0.17578125,670,0,3.90304695814848,,26.820158686950226,,0.0680100841663942,,,
35.503,1204,,,,-0.03125,-0.060546875,-1.015625,0.0078721195606198,,22.200000762939453,0.17578125,671,0,3.9023438841104503,0.5528050751512334,14.165975412934342,0.4801811055306386,0.0680223373470265,0.134765625,,
35.50900000000006,1204,,,,0.0,0.0625,-1.04296875,,0.2783202048474956,22.20199966430664,0.166015625,671,0,3.685878850519657,,15.00930979055001,,0.0755098624058835,0.134765625,,
35.514995000000056,1204,,,,0.0,-0.01171875,-1.07421875,,,22.20400047302246,0.166015625,671,0,3.68621101602912,,15.01287690492648,,,0.134765625,,
35.52100000000006,1204,,,,-0.125,-0.109375,-0.90234375,0.0078721195606198,0.2862077349771504,22.20400047302246,0.1806640625,671,0,4.01146492920816,0.5535174699287068,13.798387364637088,0.5170708252695514,0.0713474354202184,0.134765625,,
35.527,1204,,,,-0.03125,0.029296875,-1.033203125,,,22.200000762939453,0.17578125,672,0,3.9023438841104503,,14.185749976744043,,,0.134765625,,
35.534994999999995,1204,,,,-0.125,-0.01953125,-0.98046875,0.0051913428819639,0.2862077349771504,22.20199966430664,0.17578125,672,0,3.9026952534914017,0.3650784480780181,9.354521026242422,0.7839622866918378,0.0733359169463988,0.134765625,,
35.539995,1204,,,,-0.125,0.0859375,-0.96484375,0.0062682156428001,0.2862077349771504,22.20199966430664,0.1611328125,671,0,3.577470649033785,0.4407604664273449,12.32044954852074,0.6493498323410297,0.0800028184869805,0.134765625,,
35.545995000000055,1204,,,,0.0625,-0.05859375,-1.109375,,,22.20400047302246,0.15625,671,0,3.4693750739097595,,12.703638042429768,,,0.134765625,,
35.552000000000056,1204,,,,-0.0625,-0.08203125,-0.98828125,0.0108929877048232,,22.20400047302246,0.1611328125,671,0,3.5777930449694395,0.7658983315122323,21.407004873832054,0.3736889391207394,0.079995609410548,0.1328125,,
