Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Vibration (g),App message,Thrust (N)
2.44928,1017,,,,-0.0625,-0.013671875,-1.009765625,3.94E-07,0.10186682,22.20114326,0.072544642,0,0,1.610573986,0,0,0,0,0.05859375,,0.000998972
2.47134,1017,,,,-0.0625,-0.015625,-1.01171875,-2.81E-05,-0.028788449,22.20199776,0.073242188,0,0,1.626122883,0,0,0,0,0.05859375,,-0.000282318
2.49789,1017,,,,-0.0625,-0.013671875,-1.01171875,-0.000105079,-0.10740306,22.20057106,0.075334825,0,0,1.672476127,0,0,0,0,0.05859375,,-0.001053264
2.522125,1017,,,,-0.0625,-0.013671875,-1.009765625,3.70E-06,-0.140620502,22.19999886,0.077148438,0,0,1.712695224,0,0,0,0,0.05859375,,-0.001379016
2.549265,1017,,,,-0.0625,-0.013671875,-1.009765625,-1.84E-05,-0.6798503,22.20171547,0.083705358,0,0,1.858402546,0,0,0,0,0.05859375,,-0.006667054
2.572765,1017,,,,-0.0625,-0.013671875,-1.009765625,3.59E-05,-0.434041234,22.20133209,0.079210073,0,0,1.75856913,0,0,0,0,0.05859375,,-0.00425649
2.60541,1022,,,,-0.0625,-0.013671875,-1.0078125,-7.46E-05,-0.151692982,22.20222092,0.080295138,0,0,1.782730394,0,0,0,0,0.05859375,,-0.0014876
2.6307,1022,,,,-0.0625,-0.01171875,-1.01171875,-8.65E-05,0.52705007,22.20119858,0.079101563,0,0,1.756149497,0,0,0,0,0.05859375,,0.005168596
2.65309,1022,,,,-0.0625,-0.013671875,-1.009765625,-0.000148111,-0.212591625,22.20499802,0.072021484,0,0,1.599236918,0,0,0,0,0.05859375,,-0.002084812
2.67514,1022,,,,-0.0625,-0.013671875,-1.01171875,-0.000137724,-0.163872711,22.19999886,0.079520091,0,0,1.765345938,0,0,0,0,0.05859375,,-0.001607042
2.69704,1022,,,,-0.0625,-0.01171875,-1.009765625,-0.000232704,-0.613415417,22.19999886,0.075334825,0,0,1.67243302,0,0,0,0,0.05859375,,-0.00601555
2.7215,1027,,,,-0.0625,-0.013671875,-1.01171875,-0.000366907,-0.690922781,22.20171547,0.082310267,0,0,1.827429124,0,0,0,0,0.05859375,,-0.006775638
2.744565,1027,,,,-0.0625,-0.013671875,-1.01171875,-2.14E-05,-0.621166154,22.20099831,0.075683594,0,0,1.680251337,0,0,0,0,0.05859375,,-0.006091559
2.770715,1027,,,,-0.0625,-0.013671875,-1.009765625,-0.000191941,-0.194875656,22.20349884,0.070800781,0,0,1.572025064,0,0,0,0,0.05859375,,-0.001911077
2.793605,1027,,,,-0.0625,-0.015625,-1.009765625,-0.000114905,0.006643488,22.20299911,0.070800781,0,0,1.571989683,0,0,0,0,0.05859375,,6.51504E-05
