Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Vibration (g),App message,Thrust (N)
3.364825,1027,,,,-0.0625,-0.013671875,-1.009765625,-0.001383477,-5.317005115,22.19999886,0.079345703,0,0,1.761474519,0,0,0,0,0.05859375,,-0.052142008
3.39328,1027,,,,-0.0625,-0.013671875,-1.0078125,-0.001362289,-5.747724605,22.20159912,0.069335938,0,0,1.539368689,0,0,0,0,0.05859375,,-0.056365924
3.417425,1027,,,,-0.0625,-0.01171875,-1.009765625,-0.001320964,-5.517417012,22.19955444,0.075954862,0,0,1.686164093,0,0,0,0,0.05859375,,-0.054107378
3.44427,1037,,,,-0.0625,-0.01171875,-1.0078125,-0.001288465,-5.444338641,22.20149803,0.083007813,0,0,1.842897786,0,0,0,0,0.05859375,,-0.053390724
3.469,1042,,,,-0.0625,-0.013671875,-1.009765625,-0.001331303,-5.454303873,22.19999886,0.071614586,0,0,1.589843723,0,0,0,0,0.05859375,,-0.053488449
3.492745,1042,,,,-0.0625,-0.013671875,-1.009765625,-0.001288523,-5.42219368,22.20299911,0.083007813,0,0,1.843022387,0,0,0,0,0.05859375,,-0.053173556
3.518325,1042,,,,-0.0625,-0.013671875,-1.0078125,-0.001273168,-5.623712824,22.20100021,0.079345703,0,0,1.761553972,0,0,0,0,0.05859375,,-0.055149783
3.54965,1052,,,,-0.0625,-0.015625,-1.009765625,-0.001259506,-5.207387559,22.19999886,0.081787109,0,0,1.815673735,0,0,0,0,0.05859375,,-0.051067027
3.577835,1052,,,,-0.0625,-0.013671875,-1.009765625,-0.001387158,-5.261282858,22.20218086,0.082563922,0,0,1.833099125,0,0,0,0,0.05859375,,-0.05159556
3.60263,1052,,,,-0.0625,-0.013671875,-1.009765625,-0.001459237,-5.238390504,22.19879913,0.07421875,0,0,1.647567123,0,0,0,0,0.05859375,,-0.051371062
3.624775,1052,,,,-0.0625,-0.015625,-1.0078125,-0.001457636,-5.424408176,22.19942856,0.073939733,0,0,1.641419825,0,0,0,0,0.05859375,,-0.053195272
3.65327,1052,,,,-0.0625,-0.013671875,-1.009765625,-0.001532862,-5.47312709,22.20057106,0.080915175,0,0,1.796363101,0,0,0,0,0.05859375,,-0.053673042
3.678605,1052,,,,-0.0625,-0.015625,-1.009765625,-0.001441029,-5.106987842,22.19799995,0.076171875,0,0,1.690863278,0,0,0,0,0.05859375,,-0.050082442
3.702765,1052,,,,-0.0625,-0.013671875,-1.009765625,-0.001482782,-5.663573754,22.20049858,0.078125,0,0,1.734413952,0,0,0,0,0.05859375,,-0.055540686
3.725825,1052,,,,-0.0625,-0.013671875,-1.0078125,-0.001402479,-5.761011582,22.20050049,0.075683594,0,0,1.68021366,0,0,0,0,0.05859375,,-0.056496224
