rank,AR,lambda,aoaRoot (deg),aoaTip (deg),eta_pred,LD_pred,DMS,stage
3183,8.507809361729075,0.5984773348327457,16.976838283076404,3.698493952131092,0.34949888267328477,17.24147195564078,0.5606901462670612,coarse
3184,9.478525886714161,0.6456884050741636,17.84621898004797,8.0,0.3977960544734196,17.95426990305629,0.5606104143766731,refine
3185,9.819640765409291,0.6807309914231342,18.248564864631113,7.385671599709541,0.37561165490546994,18.188006685570762,0.560572857276912,refine
3186,9.177788615120544,0.594252682459517,18.417544849051588,8.0,0.4189546095237334,17.730930842903554,0.5604793901358802,refine
3187,9.760904448884489,0.6919374024734507,18.368451216103768,7.472246890883895,0.37886305707184764,18.153407144871466,0.5604392186880055,refine
3188,9.007122836923127,0.7797546887364804,13.472086167071787,5.413169097810783,0.3092531512521928,17.662800314883476,0.5603941178029014,coarse
3189,9.668295126257352,0.6478460340253178,18.840352634482155,7.14937509528866,0.38577471162935273,18.08044536829048,0.5603940501024207,refine
3190,8.149750293415906,0.7974971861299601,19.490565913581456,4.222429216863255,0.3708656201750086,17.014593984925913,0.5603904959871717,coarse
3191,7.673109276913467,0.6254534897318742,14.751732008467055,7.142570638004318,0.41326988765143724,16.56811699034344,0.5603372818613555,coarse
3192,7.7038838592513965,0.5983995939207047,19.940094654019127,4.150344374781829,0.41162923417355596,16.584976018165225,0.5602798733246722,coarse
3193,7.903649738630113,0.5320957410168108,12.31276554047951,7.38702543827237,0.3979585268732222,16.728508959035715,0.5602388178656925,coarse
3194,9.16097262155774,0.8015895149557949,17.0670916405935,3.3029712216027,0.2984265423950617,17.775574482521215,0.5602331230980735,coarse
3195,9.669756848827543,0.6253580508793831,18.239808642615806,7.356261666746796,0.38633533210398313,18.07413416942124,0.5602306788926379,refine
3196,9.103323214060955,0.8215453845886208,11.684899561587876,6.408572649516481,0.3019373546498927,17.738505389071364,0.5602138976140958,coarse
3197,8.957725873906039,0.6957243317934201,16.980552283860916,3.179109663160781,0.31438445610794474,17.607490454548547,0.5602041910913208,coarse
3198,9.817232266732855,0.5170996002387129,19.523610116096307,5.93062368410622,0.38119128604966385,18.12819643329081,0.5601667743994037,refine
3199,9.414602676018001,0.834900047590486,13.159618202795315,5.107977843088722,0.2812622360244543,17.955073582689263,0.5600793585927609,coarse
3200,9.552178913117213,0.5614648572966907,18.264847311967102,7.242157873266342,0.3958390050313213,17.97349654699725,0.5600411547483111,refine
3201,8.33057739725815,0.7789764913443522,15.96049180558099,5.550050421221408,0.3572326693007479,17.15531105210742,0.5600032815279439,coarse
3202,9.417958945462097,0.7354227467995871,15.83954317653319,3.107151574426467,0.28277340053488315,17.93833184225189,0.5599585866237071,coarse
3203,10.0,0.8071537408535188,19.905691376028063,6.892973173620292,0.361960139274876,18.330283193397708,0.5599171457860811,refine
3204,9.935282000926424,0.786522788264048,11.783199649739155,4.6853835847120795,0.24959090262912043,18.286098349290636,0.5597692412404329,coarse
3205,9.596872676063985,0.5058786542588166,19.88587815822691,6.050400720319189,0.39517424848879085,17.97980853447928,0.5597589065654099,refine
3206,9.71295459244866,0.6501251917689315,14.127685492421005,3.0663169074174936,0.26629684602431813,18.11022365516272,0.5597515903449655,coarse
3207,7.676457277265215,0.9577191752636075,17.626190539217276,7.42237342327749,0.4064346881800581,16.635893509231906,0.5597459449944431,coarse
3208,9.878800882774895,0.5987944389679706,18.312699887835613,6.843522602870099,0.37431305051554087,18.199618861473233,0.5597296482960848,refine
3209,8.432516847658366,0.6105110969720842,12.792026126828308,6.132734288339538,0.3539647202773001,17.187676241910253,0.5597149550297418,coarse
3210,9.860601803231777,0.5796744849985394,17.556627714615864,7.187339340968787,0.37606483041487637,18.181079659663663,0.559699179311377,refine
