rank,filename,AR,lambda,aoaRoot (deg),aoaTip (deg),pred_eta_mean,pred_LD,exploit_score,explore_score,composite_score
34,Prop_016_PLA_02.csv,5.352551316665602,0.788405890010398,19.83318612126738,5.83445295275405,0.4936705193547835,14.147627310131325,0.5539423922100094,0.0,0.33236543532600565
35,Prop_016_PCF_01.csv,5.352551316665602,0.788405890010398,19.83318612126738,5.83445295275405,0.4936705193547835,14.147627310131325,0.5539423922100094,0.0,0.33236543532600565
36,Prop_014_PLA_02.csv,6.20385917591897,0.821921643560126,13.581108360978767,7.3247454069280575,0.42932529987490703,15.175291810599111,0.542451214614055,0.0,0.32547072876843297
37,Prop_014_PCF_01.csv,6.20385917591897,0.821921643560126,13.581108360978767,7.3247454069280575,0.42932529987490703,15.175291810599111,0.542451214614055,0.0,0.32547072876843297
38,Prop_014_PLA_01.csv,6.20385917591897,0.821921643560126,13.581108360978767,7.3247454069280575,0.42932529987490703,15.175291810599111,0.542451214614055,0.0,0.32547072876843297
39,Prop_014_T2K_01.csv,6.20385917591897,0.821921643560126,13.581108360978767,7.3247454069280575,0.42932529987490703,15.175291810599111,0.542451214614055,0.0,0.32547072876843297
40,Prop_024_PLA_02.csv,4.436678623459028,0.6464175525993547,18.16654805798848,6.848684563277756,0.5419562387025679,12.807493551239526,0.5208413629186,0.0,0.31250481775115996
41,Prop_024_PCF_01.csv,4.436678623459028,0.6464175525993547,18.16654805798848,6.848684563277756,0.5419562387025679,12.807493551239526,0.5208413629186,0.0,0.31250481775115996
42,Prop_024_PLA_01.csv,4.436678623459028,0.6464175525993547,18.16654805798848,6.848684563277756,0.5419562387025679,12.807493551239526,0.5208413629186,0.0,0.31250481775115996
43,Prop_019_PLA_02.csv,6.912776433816358,0.9768997059342066,16.779531947468143,4.241508248756662,0.36387318247108624,15.930598990251495,0.5094927357001187,0.0,0.30569564142007116
44,Prop_019_PCF_01.csv,6.912776433816358,0.9768997059342066,16.779531947468143,4.241508248756662,0.36387318247108624,15.930598990251495,0.5094927357001187,0.0,0.30569564142007116
45,Prop_019_PLA_01.csv,6.912776433816358,0.9768997059342066,16.779531947468143,4.241508248756662,0.36387318247108624,15.930598990251495,0.5094927357001187,0.0,0.30569564142007116
46,Prop_011_PLA_02.csv,7.584923285733814,0.5330458938350742,10.10512907183388,3.534637441016156,0.3183114151241239,16.45391314088684,0.4863695490634708,0.0,0.2918217294380825
47,Prop_011_PLA_01.csv,7.584923285733814,0.5330458938350742,10.10512907183388,3.534637441016156,0.3183114151241239,16.45391314088684,0.4863695490634708,0.0,0.2918217294380825
48,Prop_011_PCF_01.csv,7.584923285733814,0.5330458938350742,10.10512907183388,3.534637441016156,0.3183114151241239,16.45391314088684,0.4863695490634708,0.0,0.2918217294380825
49,Prop_018_PLA_02.csv,5.785560298781907,0.4393063640377153,15.304718912345512,2.644439739477036,0.42081750403485013,14.555083042237213,0.4854845227367736,0.0,0.29129071364206416
50,Prop_018_PLA_01.csv,5.785560298781907,0.4393063640377153,15.304718912345512,2.644439739477036,0.42081750403485013,14.555083042237213,0.4854845227367736,0.0,0.29129071364206416
51,Prop_018_PCF_01.csv,5.785560298781907,0.4393063640377153,15.304718912345512,2.644439739477036,0.42081750403485013,14.555083042237213,0.4854845227367736,0.0,0.29129071364206416
52,Prop_004_PLA_01.csv,5.178454797521753,0.716120590158017,17.70012468188819,3.734378885943748,0.4499697578627416,13.90059927577761,0.47683856669476354,0.0,0.2861031400168581
53,Prop_004_PLA_02.csv,5.178454797521753,0.716120590158017,17.70012468188819,3.734378885943748,0.4499697578627416,13.90059927577761,0.47683856669476354,0.0,0.2861031400168581
54,Prop_004_PCF_01.csv,5.178454797521753,0.716120590158017,17.70012468188819,3.734378885943748,0.4499697578627416,13.90059927577761,0.47683856669476354,0.0,0.2861031400168581
55,Prop_025_PLA_01.csv,6.558617275958214,0.8689968649966529,9.050904020808703,3.281938387691442,0.29708201176580584,15.564025098154767,0.39245418561136375,0.0,0.23547251136681824
56,Prop_025_PCF_01.csv,6.558617275958214,0.8689968649966529,9.050904020808703,3.281938387691442,0.29708201176580584,15.564025098154767,0.39245418561136375,0.0,0.23547251136681824
57,Prop_025_PLA_02.csv,6.558617275958214,0.8689968649966529,9.050904020808703,3.281938387691442,0.29708201176580584,15.564025098154767,0.39245418561136375,0.0,0.23547251136681824
58,Prop_001_PLA_01.csv,4.222049626510018,0.9223223541872836,12.560696964801693,6.136153381495892,0.45013158351254745,12.523297680274554,0.3760532743137458,0.0,0.22563196458824747
