Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Airspeed (m/s),Airspeed Pressure (mm H2O),Electrical forward flight efficiency (%),Vibration (g),App message,
31.61699999999907,1185.7894736842106,,,,-0.041015625,-0.0703125,-0.966796875,0.00010280714326739267,0.3110523802901779,22.20400047302246,0.1328125,532,0,2.9489688128232956,0.005731330490756839,0.1943503256404314,0,0.10547835532800406,1.4325659532123005,0.12386192382869453,15.115631831317053,0.099609375,,
31.634,1185.7894736842106,,,,-0.09375,-0.01953125,-1.005859375,-0.004428229924482585,0.3187142453888754,22.202001571655273,0.12939453125,534,0,2.8728175861760974,0.24771788037688985,8.62281968646043,0,0.1109413444565773,1.377794504173575,0.1145717264447996,15.290659003950907,0.1015625,,
31.65,1185.7894736842106,,,,-0.041015625,-0.0234375,-1.021484375,0.0034160434043366272,0.3116971375214848,22.206401824951172,0.134765625,535,0,2.9926596209406853,0.19123905132117106,6.390270713816052,0,0.10415388884871203,1.3183801068310135,0.10490346520771231,13.736132198741698,0.1015625,,
31.666999999999067,1185.7894736842106,,,,-0.01953125,-0.0546875,-1.0234375,0.012368158665344632,0.11036094609203784,22.204999923706055,0.12451171875,533,0,2.7647827053442597,0.690114385960551,24.960890583790768,0.159916889630448,0.039916679845657575,1.3161925780613524,0.10455562882375409,5.255598485299762,0.1015625,,
31.68399999999907,1185.7894736842106,,,,-0.046875,0.001953125,-1.037109375,0.016065795116855446,0.09773445031227693,22.203201293945312,0.123046875,532,0,2.732034534215927,0.8957238322392778,32.785963025769135,0.10911225848255512,0.03577350472267216,1.2139154026893844,0.08893759410418389,4.344084280278074,0.1015625,,
31.699,1185.7894736842106,,,,-0.041015625,-0.087890625,-0.96875,0.007869894234758036,0.1689478865101284,22.20560073852539,0.123046875,532,0,2.7323297783732414,0.4387783447203145,16.05876231314771,0.38504153302692945,0.061832904595694745,1.171831825558153,0.0828779695340748,7.248251719025292,0.1015625,,
31.71499999999907,1185.7894736842106,,,,-0.041015625,-0.048828125,-1.04296875,0.002911504984158861,0.2078482394656471,22.207000732421875,0.1416015625,533,0,3.144546002149582,0.1624044758542562,5.164639847635812,0,0.06609801202576271,1.1571202868920767,0.08081007918277858,7.650947750454707,0.1015625,,
31.731,1185.7894736842106,,,,-0.078125,-0.044921875,-1.0078125,0.00030896239970994453,0.2975339703404424,22.203001022338867,0.13916015625,533,0,3.0897730914875865,0.01723574797303942,0.5578321599254132,0,0.09629638213892049,1.1730782755334803,0.08305437084607917,11.300178235371678,0.1015625,,
31.74699999999907,1185.7894736842106,,,,0,-0.0390625,-1.060546875,-0.004326535382209746,0.3130833655687948,22.20479965209961,0.134765625,533,0,2.9924437031149864,0.2415761240041452,8.072871137147086,0,0.10462464682055353,1.173531083955059,0.08311849969278431,12.282221718051886,0.1015625,,
31.762,1185.7894736842106,,,,-0.041015625,-0.02734375,-1.052734375,0.003469583307396477,0.3034657368684663,22.202999114990234,0.13671875,533,0,3.035566285252571,0.193805919664066,6.384506265128076,0,0.09997005775916264,1.1307551848542663,0.07716949687667658,11.308027639999999,0.1015625,,
